UID,Amazon Name,USDA Name,USDA Food ID,Match Confidence,Serving Size,Serving Unit,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Sugar (g)
198a41a0,Terra Plantains Real Sea Salt Vegetable Chips,"PLANTAINS SEA SALT REAL VEGETABLE CHIPS, PLANTAINS",2608268,0.625,28.0,GRM,500.0,3.57,64.29,28.57,7.1,3.57
e6280b24,365 by Whole Foods Market Pitted Dates,"Dates, medjool",167746,0.9,15.0,g,277.0,1.81,74.97,0.15,6.7,66.47
f7ba790c,365 by Whole Foods Market Organic Extra Virgin Olive Oil,"365 EVERYDAY VALUE, OLIVE OIL",2052298,0.8500000000000001,15.0,ml,800.0,0.0,0.0,93.33,0.0,0.0
536df0a3,Jack's Original Thin Crust Sausage and Pepperoni Pizza,"PEPPERONI & SAUSAGE ORIGINAL THIN CRUST PIZZA, PEPPERONI & SAUSAGE",2134762,0.5,146.0,g,267.0,10.96,26.71,13.7,2.1,2.05
8a123bfc,Amazon Brand - Happy Belly Dark Sweet Cherries,"ORGANIC HAPPY BELLY WITH PROBIOTICS JUICE, HAPPY BELLY",2399570,0.4666666666666667,355.0,ml,25.0,0.0,6.76,0.0,0.0,3.94
2b6ecfb5,ICE BREAKERS Ice Cubes Spearmint,"ICE CUBES GUM, SPEARMINT",1664945,0.8999999999999999,,,217.0,0.0,86.96,0.0,0.0,0.0
2f0da2eb,Amazon Fresh Supreme Rising Crust Pizza,"RISING CRUST SUPREME PIZZA, RISING CRUST",725422,0.7285714285714285,148.0,g,230.0,9.46,28.38,8.78,1.4,3.38
c7024fd6,Amazon Grocery Chicken Breast Tenderloins,CHICKEN BREAST TENDERLOINS,2660645,0.8999999999999999,112.0,GRM,107.0,22.32,0.0,1.34,0.0,0.0
28039bb7,Amazon Fresh Classic Crust 4 Cheese,CHEESE,1943515,0.4666666666666667,,,331.0,21.13,2.46,24.65,0.0,0.0
4853647f,365 by Whole Foods Market Organic Cream,"365 EVERYDAY VALUE, CREAM CHEESE SPREAD",2052159,0.7818181818181817,30.0,g,300.0,3.33,10.0,30.0,0.0,10.0
2193f9a1,Amazon Fresh Rising Crust Four Cheese Pizza,RISING CRUST FOUR CHEESE PIZZA,2273482,0.7142857142857143,133.0,g,241.0,11.28,31.58,25.56,1.5,3.76
f566aa9e,Amazon Brand - Happy Belly Whole Blackberries,"ORGANIC HAPPY BELLY WITH PROBIOTICS JUICE, HAPPY BELLY",2399570,0.4818181818181818,355.0,ml,25.0,0.0,6.76,0.0,0.0,3.94
e4820c46,Amazon Fresh Rising Crust Pepperoni Pizza,"PEPPERONI RISING CRUST PIZZA, PEPPERONI",2638298,0.7285714285714285,134.0,GRM,239.0,8.96,31.34,8.96,1.5,3.73
41bf75bc,Amazon Grocery Chicken Breast Fillets Value Pack,CHICKEN BREAST,2187885,0.5857142857142856,284.0,g,165.0,20.42,1.06,8.1,0.0,0.7
74437e2f,Dole 100% Pineapple Juice,Dole 100% Pineapple Juice 59 Fluid Ounce Plastic Bottle,1457632,0.7444444444444445,240.0,ml,54.0,0.42,12.5,0.0,0.0,10.83
81f6151c,365 by Whole Foods Market Organic Cream,"365 EVERYDAY VALUE, CREAM CHEESE SPREAD",2052159,0.7818181818181817,30.0,g,300.0,3.33,10.0,30.0,0.0,10.0
28d83b33,Sweet Potatoes 3 lb,SWEET POTATOES,2427040,1.0,85.0,g,82.0,1.18,20.0,0.0,3.5,4.71
